,Hour Category,Temperature,Humidity,Wind Speed,Sunshine,Cloud Level,Season Category,IsHoliday,Dust Density,Weekday,Vector,Feeling Temperature,Discomfort Index,IsRain
0,1.0,-4.3,70.0,2.3,0.0,9.0,3.0,1.0,31.0,2,"0, 0, 0, 1, 0, 0, 1, 0, 5, 0",-7.889306682756532,29.827099999999994,0
1,1.0,-4.2,76.0,1.9,0.0,9.0,3.0,1.0,34.0,2,"23, 0, 0, 2, 8, 0, 11, 0, 16, 2, 1",-7.221168419925391,28.869919999999997,0
2,1.0,-3.4,75.0,1.5,0.0,9.0,3.0,1.0,36.0,2,"47, 6, 0, 19, 33, 17, 45, 4, 26, 7, 1, 1, 5, 5, 3",-5.650424144411018,30.296499999999995,0
3,2.0,-2.2,72.0,1.6999999999999997,0.5,9.0,3.0,1.0,35.0,2,"58, 13, 0, 28, 37, 35, 48, 9, 25, 16, 5, 10, 5, 2",-4.605791222729385,32.653839999999995,0
4,1.0,-0.4,67.0,2.3,0.0,9.0,3.0,0.0,47.0,3,"0, 0, 0, 2, 0, 0, 0, 0, 0, 0",-3.296790773412285,36.12967999999999,0
5,1.0,-0.1,67.0,2.4,0.0,9.0,3.0,0.0,57.0,3,"1, 0, 0, 1, 0, 0, 2, 0, 2, 0",-3.052854096790824,36.57167,0
6,1.0,0.7,62.0,2.0,0.0,9.0,3.0,0.0,58.0,3,"21, 0, 0, 1, 9, 0, 6, 2, 11, 2, 1",-1.6574530814518855,38.430659999999996,0
7,1.0,1.7,57.0,2.0,0.0,9.0,3.0,0.0,65.0,3,"63, 5, 0, 4, 18, 7, 30, 8, 28, 6, 9, 1, 1, 3, 2",-0.4921816448625237,40.48531,0
8,2.0,2.5,56.0,1.0,0.0,9.0,3.0,0.0,72.0,3,"58, 3, 0, 32, 25, 11, 27, 24, 36, 16, 4, 2, 2, 1, 9, 6, 1",1.9342186740151268,41.702999999999996,0
9,2.0,3.4,56.0,1.8,0.0,9.0,3.0,0.0,83.0,3,"45, 6, 0, 15, 17, 18, 30, 18, 34, 11, 3, 2, 1, 4, 3, 1",1.718535171002477,42.93096,0
10,2.0,3.7,58.0,2.3,0.0,9.0,3.0,0.0,71.0,3,"34, 4, 0, 26, 22, 13, 30, 15, 20, 13, 1, 3, 2, 3, 1",1.53123877230859,43.127539999999996,0
11,2.0,3.8,58.0,2.8,0.0,9.0,3.0,0.0,73.0,3,"31, 7, 0, 36, 22, 12, 20, 8, 25, 12, 2, 2, 4, 6, 2",1.2067062139199725,43.26596,0
12,2.0,3.7,58.0,2.5,0.0,9.0,3.0,0.0,76.0,3,"43, 7, 0, 54, 22, 18, 15, 13, 22, 3, 2, 1, 7, 4, 3, 1",1.3447125526522403,43.127539999999996,0
13,2.0,3.3,62.0,3.1,0.0,9.0,3.0,0.0,84.0,3,"53, 30, 0, 72, 25, 27, 29, 23, 29, 11, 2, 11, 4, 7, 2",0.36994651573540827,42.13254,0
14,3.0,2.7,61.0,2.2,0.0,7.0,3.0,0.0,88.0,3,"88, 58, 0, 158, 21, 36, 53, 24, 34, 19, 5, 25, 11, 15, 9",0.4560386235848992,41.394529999999996,0
15,1.0,-2.6,74.0,2.2,0.7,0.0,3.0,0.0,87.0,4,"0, 0, 0, 0, 0, 0, 2, 0, 1, 0",-5.764186061662131,31.707239999999995,0
16,1.0,-1.0,60.0,2.2,1.0,0.0,3.0,0.0,81.0,4,"15, 0, 0, 2, 11, 0, 6, 1, 21, 6, 2, 2",-3.886382383096989,36.315999999999995,0
17,1.0,0.1,48.0,3.2,1.0,0.0,3.0,0.0,82.0,4,"68, 0, 0, 12, 24, 12, 28, 9, 51, 7, 12, 2, 2, 6, 2",-3.570199395351729,39.564519999999995,0
