,Hour Category,Temperature,Humidity,Wind Speed,Sunshine,Cloud Level,Season Category,IsHoliday,Dust Density,Weekday,Vector,Feeling Temperature,Discomfort Index,IsRain
17,2.0,9.8,80.0,4.8,0.0,10.0,3.0,0.0,136.0,4,"49, 14, 0, 34, 37, 10, 41, 29, 43, 6, 4, 11, 2, 2, 5, 9, 2",7.403193712785388,50.559599999999996,1
18,2.0,9.8,82.0,5.2,0.0,9.0,3.0,0.0,124.0,4,"34, 15, 0, 35, 48, 11, 34, 15, 45, 5, 8, 9, 1, 1, 7, 7, 1",7.251004498086909,50.467639999999996,1
19,2.0,7.7,76.0,3.5,0.0,9.0,3.0,0.0,135.0,4,"51, 26, 0, 59, 45, 11, 32, 26, 39, 6, 7, 8, 2, 6, 6, 9, 12",5.4310433804728895,47.46248,0
20,2.0,6.7,79.0,4.1,0.0,9.0,3.0,0.0,176.0,4,"94, 82, 0, 180, 52, 20, 67, 46, 38, 9, 7, 16, 24, 14, 41, 15",3.8797555099158423,45.670069999999996,0
21,3.0,5.3,81.0,3.7,0.0,9.0,3.0,0.0,173.0,4,"163, 132, 0, 323, 62, 46, 103, 62, 62, 15, 13, 17, 37, 18, 52, 41",2.3879939701525212,43.26007,0
22,2.0,-1.8,44.0,3.1,0.5,7.0,3.0,1.0,27.0,6,"88, 48, 0, 139, 90, 26, 64, 39, 50, 4, 2, 27, 7, 7, 14, 10",-5.774379274347198,37.765919999999994,0
23,2.0,-2.2,53.0,3.2,0.6,3.0,3.0,1.0,40.0,6,"115, 111, 0, 274, 96, 41, 116, 50, 61, 11, 2, 22, 25, 15, 53, 26",-6.348001832045302,35.784659999999995,0
24,1.0,-2.3,88.0,2.4,0.0,9.0,3.0,0.0,49.0,0,"12, 2, 0, 7, 10, 0, 27, 10, 34, 3, 9, 11, 1, 2",-5.651862973367287,29.849239999999995,0
25,1.0,-1.5,90.0,1.5,0.0,9.0,3.0,0.0,69.0,0,"51, 7, 0, 8, 17, 10, 46, 37, 76, 7, 24, 19, 3, 4, 13",-3.48288626302999,30.878499999999995,0
26,2.0,-0.6,88.0,2.2,0.0,9.0,3.0,0.0,77.0,0,"60, 4, 0, 29, 25, 12, 27, 41, 72, 9, 14, 21, 1, 5, 15",-3.4169314634557044,32.70728,0
27,2.0,-0.2,80.0,2.7,0.0,9.0,3.0,0.0,99.0,0,"57, 15, 0, 44, 29, 5, 37, 25, 34, 9, 4, 11, 2, 3, 13, 3",-3.478545648886638,34.53959999999999,0
28,2.0,-0.3,75.0,5.0,0.0,9.0,3.0,0.0,63.0,0,"28, 14, 0, 27, 37, 12, 17, 17, 36, 7, 5, 16, 1, 4, 4, 2",-5.31061285190378,35.109249999999996,0
29,2.0,-0.4,56.0,6.0,0.3,3.0,3.0,0.0,128.0,0,"38, 13, 0, 22, 16, 9, 20, 23, 32, 2, 3, 13, 3, 3, 9, 2",-5.9776371852263415,37.74623999999999,0
30,2.0,6.9,45.0,1.8,0.0,10.0,3.0,0.0,64.0,3,"39, 8, 0, 46, 28, 12, 23, 24, 34, 5, 4, 7, 1, 9, 4, 7",5.765170571120349,48.52795,1
31,2.0,6.1,67.0,2.1,0.0,10.0,3.0,0.0,95.0,3,"33, 12, 0, 44, 36, 6, 20, 13, 30, 1, 7, 14, 2, 3, 6, 4, 3",4.538804884327536,45.706129999999995,1
32,2.0,5.3,79.0,2.5,0.0,10.0,3.0,0.0,111.0,3,"51, 22, 0, 78, 35, 11, 33, 28, 26, 2, 3, 11, 7, 4, 15, 6",3.2407708339318004,43.441129999999994,1
33,2.0,4.8,87.0,1.8,0.0,10.0,3.0,0.0,108.0,3,"86, 56, 0, 170, 50, 27, 51, 41, 42, 5, 11, 12, 12, 9, 26, 5",3.337189331049627,41.88123999999999,1
34,3.0,4.6,91.0,2.1,0.0,10.0,3.0,0.0,95.0,3,"117, 91, 0, 225, 37, 48, 112, 68, 51, 14, 14, 34, 24, 9, 35, 12",2.7845054440144885,41.15714,1
35,1.0,4.9,96.0,1.9,0.0,10.0,3.0,0.0,136.0,4,"3, 0, 0, 0, 0, 0, 1, 3, 1, 0, 2",3.3423573396930157,41.197959999999995,0
36,1.0,5.0,97.0,2.0,0.0,10.0,3.0,0.0,126.0,4,"0, 0, 0, 0, 1, 0, 9, 8, 7, 0, 9, 1",3.3532140958823726,41.280499999999996,0
37,1.0,5.400000000000001,97.0,1.5,0.0,10.0,3.0,0.0,105.0,4,"18, 3, 0, 4, 19, 1, 35, 11, 15, 0, 13, 41, 1, 4",4.388698674616897,41.98862,0
38,1.0,5.8,96.0,2.3,0.0,10.0,3.0,0.0,48.0,4,"78, 11, 0, 20, 29, 14, 78, 43, 65, 6, 38, 33, 1, 3, 5, 26, 2",4.004131954263184,42.78232,0
39,2.0,6.0,93.0,0.5,0.0,10.0,3.0,0.0,19.0,4,"68, 8, 0, 43, 45, 12, 51, 43, 61, 9, 28, 20, 1, 7, 6, 18, 4",6.971396284880068,43.3852,0
40,2.0,6.4,92.0,1.5,0.0,10.0,3.0,0.0,27.0,4,"53, 9, 0, 36, 40, 7, 39, 43, 42, 3, 10, 21, 2, 3, 5, 8, 2",5.52950808587007,44.15712,0
41,2.0,6.6,91.0,1.7,0.0,10.0,3.0,0.0,80.0,4,"30, 9, 0, 32, 36, 5, 21, 28, 36, 7, 6, 17, 5, 4, 9, 1",5.52577186054315,44.578939999999996,0
42,2.0,6.5,91.0,2.2,0.0,10.0,3.0,0.0,63.0,4,"36, 12, 0, 21, 52, 14, 16, 24, 23, 3, 6, 6, 1, 6, 1, 6, 2",4.915822360177108,44.407849999999996,0
43,2.0,6.4,90.0,1.6,0.0,10.0,3.0,0.0,85.0,4,"51, 20, 0, 59, 40, 13, 24, 28, 25, 4, 6, 7, 6, 7, 10, 6",5.4094351995680485,44.3164,0
44,2.0,6.3,90.0,2.1,0.0,10.0,3.0,0.0,73.0,4,"83, 56, 0, 164, 42, 15, 42, 41, 40, 10, 8, 12, 19, 6, 25, 21",4.7727114763692775,44.1463,0
45,3.0,5.9,91.0,2.6,0.0,10.0,3.0,0.0,83.0,4,"137, 106, 0, 283, 66, 45, 81, 69, 51, 12, 10, 24, 1, 43, 11, 45, 23",3.870995424275963,43.38131,0
46,1.0,5.9,73.0,0.6,0.0,10.0,3.0,0.0,83.0,1,"1, 0, 0, 0, 2, 0, 4, 1, 8, 0, 6, 4, 2, 2",6.572009002169768,44.903929999999995,1
47,1.0,5.9,82.0,1.6999999999999997,0.0,10.0,3.0,0.0,89.0,1,"18, 4, 0, 0, 20, 0, 15, 11, 30, 1, 18, 29, 2, 1, 1, 3",4.719852069828293,44.142619999999994,1
48,1.0,6.0,86.0,1.1,0.0,10.0,3.0,0.0,100.0,1,"86, 10, 0, 8, 31, 17, 72, 39, 75, 15, 31, 45, 2, 7, 5, 17, 1",5.643293908209992,43.9704,1
49,2.0,6.1,88.0,0.6,0.0,10.0,3.0,0.0,80.0,1,"63, 16, 0, 24, 30, 13, 47, 52, 71, 22, 24, 24, 11, 4, 15, 4",6.786007627532053,43.97132,1
50,2.0,6.5,86.0,2.1,0.0,10.0,3.0,0.0,49.0,1,"46, 6, 0, 36, 32, 15, 40, 30, 49, 8, 4, 11, 1, 8, 6, 6, 2",5.006618068411015,44.8011,1
51,2.0,7.0,84.0,2.8,0.0,10.0,3.0,0.0,52.0,1,"26, 9, 0, 40, 28, 13, 25, 26, 36, 6, 5, 9, 2, 6, 2, 7",5.031819832666067,45.779199999999996,0
52,2.0,6.9,86.0,2.9,0.0,10.0,3.0,0.0,82.0,1,"22, 7, 0, 42, 35, 11, 16, 16, 46, 3, 7, 7, 3, 3, 3, 7",4.841927154900448,45.46566,1
53,2.0,6.4,92.0,2.3,0.0,10.0,3.0,0.0,170.0,1,"41, 27, 0, 59, 44, 12, 28, 19, 35, 4, 7, 11, 2, 8, 6, 10, 2",4.71067286339307,44.15712,1
54,2.0,5.4,95.0,2.7,0.0,10.0,3.0,0.0,128.0,1,"57, 32, 0, 161, 36, 20, 44, 39, 52, 7, 10, 16, 10, 11, 10, 11",3.196758409770912,42.167699999999996,1
55,3.0,5.2,94.0,3.2,0.0,10.0,3.0,0.0,77.0,1,"99, 85, 0, 247, 39, 34, 88, 43, 70, 13, 14, 28, 1, 21, 9, 34, 9",2.5892755729688006,41.909119999999994,1
56,1.0,0.5,81.0,4.6,0.0,10.0,3.0,0.0,80.0,3,"2, 0, 0, 1, 4, 1, 7, 1, 5, 1, 7, 1, 2",-4.074602552273169,35.522949999999994,0
57,1.0,0.3,93.0,4.0,0.0,10.0,3.0,0.0,145.0,3,"8, 0, 0, 0, 0, 9, 23, 4, 10, 1, 18, 19, 2, 1",-3.933303563651144,33.52021,0
58,2.0,0.8,82.0,4.2,0.0,9.0,3.0,0.0,54.0,3,"39, 1, 0, 17, 7, 6, 49, 37, 36, 3, 21, 21, 3, 7, 11",-3.4515060072398622,35.87143999999999,0
59,1.0,-5.4,58.0,3.2,0.0,9.0,3.0,1.0,47.0,5,"0, 0, 0, 1, 0, 0, 6, 4, 9, 0, 7",-10.212770439618966,30.531319999999997,0
60,1.0,-5.6,72.0,3.7000000000000006,0.0,9.0,3.0,1.0,72.0,5,"0, 1, 0, 0, 1, 0, 5, 7, 6, 0, 10, 2, 2, 1",-10.926546034497216,27.476319999999998,0
61,1.0,-4.7,80.0,2.1,0.0,9.0,3.0,1.0,161.0,5,"27, 8, 0, 0, 17, 2, 9, 5, 29, 2, 5, 9, 1, 1, 4",-8.092151085926407,27.330599999999993,0
62,1.0,-3.4,79.0,1.9,0.2,9.0,3.0,1.0,55.0,5,"60, 16, 0, 18, 43, 23, 58, 30, 54, 9, 14, 30, 1, 7, 11, 15, 3",-6.292506814684213,29.589859999999994,0
63,1.0,5.8,89.0,2.0,0.0,10.0,3.0,0.0,75.0,0,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0",4.2854312451538625,43.38138,0
64,1.0,6.7,94.0,1.8,0.0,9.0,3.0,0.0,99.0,0,"2, 0, 0, 0, 3, 0, 0, 0, 9, 0, 3",5.533934262542187,44.520019999999995,0
65,1.0,7.1,91.0,1.9,0.0,10.0,3.0,0.0,88.0,0,"9, 1, 0, 0, 19, 0, 15, 4, 11, 0, 13, 8, 3, 1, 3",5.896176754106257,45.43438999999999,0
66,1.0,7.6,87.0,3.2,0.0,9.0,3.0,0.0,59.0,0,"55, 11, 0, 10, 32, 6, 62, 30, 45, 2, 31, 4, 1, 6, 22, 5",5.487852028649047,46.56088,0
67,2.0,8.5,82.0,2.9,0.1,8.0,3.0,0.0,47.0,0,"55, 8, 0, 20, 31, 10, 45, 35, 62, 9, 34, 8, 1, 9, 4, 1",6.75965355679654,48.3593,0
68,2.0,9.2,75.0,2.8,0.3,7.0,3.0,0.0,59.0,0,"47, 8, 0, 31, 36, 6, 33, 29, 48, 5, 11, 5, 1, 2, 4, 4, 1",7.661585445554006,49.858,0
69,2.0,9.2,72.0,4.1,0.7,6.0,3.0,0.0,68.0,0,"35, 7, 0, 30, 35, 17, 21, 11, 33, 5, 10, 3, 2, 3, 5, 6",6.9583902471090235,50.01376,0
70,2.0,7.7,77.0,2.9,0.0,9.0,3.0,0.0,143.0,0,"25, 13, 0, 27, 49, 8, 18, 16, 35, 2, 4, 2, 1, 2, 3, 1",5.800790355848494,47.395709999999994,0
71,2.0,6.9,83.0,2.9,0.0,7.0,3.0,0.0,180.0,0,"28, 18, 0, 46, 44, 9, 25, 22, 27, 2, 3, 12, 1, 8, 4, 12, 1",4.841927154900448,45.68973,0
72,2.0,6.7,81.0,2.9,0.0,8.0,3.0,0.0,147.0,0,"58, 30, 0, 77, 45, 20, 47, 40, 41, 6, 7, 2, 2, 6, 4, 27, 8",4.602211354663438,45.516729999999995,0
73,3.0,5.8,80.0,2.2,0.0,10.0,3.0,0.0,171.0,0,"93, 69, 0, 173, 48, 32, 73, 50, 70, 11, 17, 10, 19, 6, 18, 12",4.0942832508048586,44.151599999999995,0
74,2.0,0.7,66.0,3.4,0.4,8.0,3.0,0.0,31.0,2,"85, 38, 0, 145, 45, 19, 43, 34, 40, 8, 13, 9, 12, 14, 23, 9",-3.005414217866808,37.886379999999996,0
75,3.0,0.3,70.0,3.2,0.0,9.0,3.0,0.0,56.0,2,"103, 73, 0, 236, 16, 46, 78, 48, 67, 5, 16, 11, 18, 6, 30, 8",-3.328651357378375,36.740899999999996,0
76,2.0,7.7,80.0,3.0,0.0,9.0,3.0,1.0,82.0,5,"93, 31, 0, 52, 46, 22, 62, 41, 69, 10, 10, 14, 14, 24, 1",5.734952735940317,47.1954,0
77,2.0,8.5,78.0,3.0,0.0,9.0,3.0,1.0,99.0,5,"48, 20, 0, 64, 64, 25, 41, 37, 67, 8, 10, 13, 3, 1, 6, 14, 4",6.696326916638737,48.594699999999996,0
78,2.0,9.4,74.0,3.3,0.1,9.0,3.0,1.0,116.0,5,"63, 28, 0, 63, 69, 21, 41, 30, 50, 7, 8, 8, 4, 7, 10, 2",7.606010469779376,50.21844,0
79,2.0,9.4,75.0,2.7,0.0,9.0,3.0,1.0,152.0,5,"50, 25, 0, 59, 88, 17, 35, 31, 43, 3, 9, 9, 6, 3, 11, 4",7.964832737383449,50.168499999999995,0
80,2.0,8.9,78.0,4.2,0.0,9.0,3.0,1.0,186.0,5,"60, 37, 0, 100, 60, 17, 43, 27, 41, 6, 6, 16, 3, 7, 13, 9",6.5423564319748095,49.227579999999996,0
81,2.0,8.5,81.0,3.0,0.0,9.0,3.0,1.0,209.0,5,"105, 96, 0, 201, 77, 52, 76, 38, 48, 11, 6, 17, 18, 6, 46, 17",6.696326916638737,48.41815,0
82,3.0,7.8,81.0,2.4,0.0,9.0,3.0,1.0,198.0,5,"125, 117, 0, 322, 78, 44, 93, 46, 72, 23, 9, 21, 27, 9, 33, 22",6.279950505461021,47.28982,0
83,3.0,7.7,83.0,2.2,0.0,0.0,3.0,1.0,204.0,5,"116, 97, 0, 239, 123, 39, 85, 44, 57, 14, 2, 12, 18, 8, 29, 17",6.324175119100963,46.99509,0
84,1.0,3.6,95.0,2.0,0.0,10.0,3.0,1.0,192.0,6,"3, 0, 0, 0, 0, 0, 1, 0, 11, 0, 5",1.7218340846572644,39.016799999999996,0
85,1.0,3.5,95.0,1.5,0.0,10.0,3.0,1.0,183.0,6,"2, 1, 0, 0, 0, 0, 5, 0, 19, 0, 4",2.2211607932358706,38.84175,0
86,1.0,3.7999999999999994,93.0,1.7,0.0,9.0,3.0,1.0,162.0,6,"24, 6, 0, 2, 28, 3, 29, 8, 47, 0, 1, 14, 3, 3",2.302092697683709,39.577659999999995,0
87,1.0,4.6,86.0,3.2,0.0,8.0,3.0,1.0,133.0,6,"67, 11, 0, 22, 50, 36, 57, 31, 67, 10, 9, 25, 3, 4, 27, 2",1.8646314590487365,41.644439999999996,0
88,2.0,5.2,79.0,3.6,0.4,7.0,3.0,1.0,137.0,6,"102, 18, 0, 55, 85, 37, 86, 41, 87, 11, 4, 19, 1, 5, 11, 32, 6",2.3274575994236235,43.28192,0
89,2.0,5.5,67.0,4.3,1.0,2.0,3.0,1.0,111.0,6,"63, 31, 0, 66, 100, 27, 53, 35, 65, 14, 3, 17, 7, 2, 22, 2",2.2938742941407853,44.82214999999999,0
90,2.0,6.8,50.0,4.2,1.0,1.0,3.0,1.0,110.0,6,"56, 26, 0, 47, 88, 34, 36, 17, 49, 9, 9, 15, 7, 4, 9, 5",3.9513550588450794,48.023999999999994,0
91,1.0,2.4,91.0,0.9,0.0,9.0,3.0,1.0,83.0,3,"0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 4",2.0371722695160757,37.393159999999995,0
92,1.0,3.0,89.0,1.3,0.0,9.0,3.0,1.0,89.0,3,"1, 1, 0, 0, 2, 0, 4, 0, 18, 0, 3",1.9525788157498472,38.6463,0
93,1.0,3.8999999999999995,85.0,1.8000000000000003,0.0,8.0,3.0,1.0,88.0,3,"16, 7, 0, 1, 23, 2, 18, 6, 45, 0, 2, 17, 6, 4, 2",2.296625942447886,40.58584999999999,0
94,1.0,5.8,74.0,1.8,0.6,7.0,3.0,1.0,61.0,3,"38, 13, 0, 16, 20, 16, 52, 23, 54, 3, 5, 28, 1, 2, 13, 5",4.493370873940446,44.665079999999996,0
95,2.0,7.3,66.0,2.3,1.0,8.0,3.0,1.0,79.0,3,"55, 21, 0, 25, 45, 12, 66, 41, 60, 12, 8, 16, 2, 14, 10, 1",5.770484227087894,47.544819999999994,0
96,2.0,8.7,59.0,2.4,1.0,7.0,3.0,1.0,110.0,3,"54, 13, 0, 29, 43, 12, 34, 33, 52, 4, 4, 16, 1, 11, 13, 3",7.343181409515026,49.99167,0
97,2.0,10.0,54.0,2.1,1.0,8.0,3.0,1.0,97.0,3,"41, 10, 0, 32, 46, 18, 25, 21, 52, 2, 6, 11, 3, 3, 10, 6",9.099983429141462,52.024,0
98,2.0,10.3,51.0,1.4,0.6,8.0,3.0,1.0,115.0,3,"40, 12, 0, 51, 48, 13, 29, 19, 37, 3, 1, 13, 7, 20, 10, 4",10.083426963060315,52.55047,0
99,3.0,8.9,55.0,1.6,0.0,5.0,3.0,1.0,134.0,3,"77, 66, 0, 143, 45, 30, 60, 26, 42, 8, 5, 17, 9, 10, 15, 18",8.274934368358885,50.49005,0
100,3.0,7.5,60.0,1.4,0.0,9.0,3.0,1.0,145.0,3,"76, 70, 0, 148, 59, 28, 37, 24, 46, 5, 1, 7, 18, 18, 14, 25",6.905123577054117,48.25,0
101,1.0,1.7,83.0,1.3,0.7,7.0,3.0,1.0,103.0,4,"0, 0, 0, 0, 2, 0, 1, 0, 0, 0",0.4848082004144766,37.20488999999999,0
102,1.0,4.5,72.0,1.2,1.0,3.0,3.0,1.0,87.0,4,"0, 0, 0, 3, 10, 0, 2, 0, 7, 0, 1",3.802305692731187,42.8566,0
103,1.0,7.4,60.0,1.0,1.0,4.0,3.0,1.0,96.0,4,"4, 0, 0, 0, 17, 0, 6, 7, 40, 1, 2, 1, 2, 1",7.364345110164926,48.1096,0
104,2.0,10.1,51.0,1.3999999999999997,1.0,2.0,3.0,1.0,111.0,4,"14, 1, 0, 13, 34, 0, 11, 10, 40, 1, 8, 1, 5, 6",9.856405292631297,52.28749,0
105,2.0,12.4,41.0,2.2,1.0,0.0,3.0,1.0,124.0,4,"11, 5, 0, 14, 31, 0, 6, 4, 33, 6, 6, 2, 1, 3",11.840223424886066,55.51416,0
106,3.0,9.2,54.0,2.7,0.0,0.0,3.0,1.0,146.0,4,"34, 52, 0, 145, 81, 29, 42, 38, 51, 10, 14, 17, 5, 9, 16",7.726429021002823,50.948319999999995,0
107,1.0,1.0,72.0,2.0,0.0,0.0,3.0,1.0,122.0,5,"0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1",-1.3078716504750778,37.526799999999994,0
108,1.0,2.1,73.0,1.3,0.9,0.0,3.0,1.0,105.0,5,"0, 0, 0, 0, 2, 0, 1, 0, 20, 0",0.9364299282099751,39.07967,0
109,1.0,5.3,61.0,1.1,1.0,0.0,3.0,1.0,110.0,5,"19, 1, 0, 1, 23, 1, 19, 5, 41, 0, 1, 3, 1",4.862326465681205,45.07067,0
110,1.0,8.3,50.0,1.4,1.0,0.0,3.0,1.0,121.0,5,"54, 8, 0, 8, 35, 20, 40, 29, 45, 6, 1, 9, 6, 12, 2",7.813210258770173,49.9815,0
111,2.0,11.0,43.0,1.0,1.0,0.0,3.0,1.0,125.0,5,"76, 14, 0, 30, 62, 24, 41, 28, 63, 6, 2, 13, 1, 5, 18, 5",11.353825757132121,53.7437,0
112,2.0,12.8,34.0,0.9,1.0,0.0,3.0,1.0,130.0,5,"66, 13, 0, 47, 77, 24, 36, 24, 42, 5, 2, 7, 5, 15, 5",13.47772748235332,56.11448,0
113,2.0,12.7,39.0,2.0,0.0,10.0,3.0,1.0,125.0,6,"157, 84, 0, 188, 111, 43, 79, 61, 55, 5, 3, 11, 18, 10, 43, 23",12.325804157620464,55.91347,0
114,3.0,11.4,45.0,2.6,0.0,10.0,3.0,1.0,157.0,6,"170, 106, 0, 254, 90, 78, 77, 65, 43, 13, 8, 16, 17, 35, 13",10.408206945983725,54.1777,0
115,3.0,10.3,48.0,2.1,0.0,7.0,3.0,1.0,164.0,6,"111, 56, 0, 204, 101, 46, 76, 59, 44, 7, 14, 22, 5, 32, 17",9.450843317204072,52.67356,0
116,1.0,4.9,94.0,3.0,0.0,10.0,3.0,0.0,106.0,0,"0, 0, 0, 0, 0, 0, 1, 0, 0, 0",2.370143103495846,41.386939999999996,1
117,1.0,3.4,91.0,4.0,0.0,10.0,3.0,0.0,38.0,0,"0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 2",-0.12325218397886317,39.10406,1
118,1.0,2.2,89.0,4.0,0.0,10.0,3.0,0.0,28.0,0,"8, 0, 0, 4, 13, 0, 17, 3, 16, 0, 12, 2, 3, 9",-1.5981107825616823,37.29342,0
119,1.0,1.2,83.0,4.2,0.0,8.0,3.0,0.0,33.0,0,"50, 5, 0, 11, 15, 6, 51, 31, 50, 1, 35, 12, 4, 1, 12",-2.9579819361675317,36.389039999999994,0
120,1.0,-5.2,59.0,3.7,0.0,10.0,3.0,0.0,25.0,1,"0, 0, 0, 0, 2, 0, 4, 0, 7, 0, 4, 4",-10.43793906184952,30.61368,0
121,1.0,-5.3,73.0,1.7,0.0,10.0,3.0,0.0,77.0,1,"12, 2, 0, 2, 9, 1, 9, 4, 21, 1, 14, 20, 4, 2, 4",-8.174864581609484,27.737689999999997,0
122,1.0,6.0,91.0,2.3,0.0,8.0,3.0,1.0,144.0,5,"0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 1",4.239645590639814,43.5524,0
123,1.0,6.3,90.0,1.8,0.0,9.0,3.0,1.0,141.0,5,"2, 1, 0, 0, 1, 0, 6, 0, 17, 1, 3, 4",5.071461645385858,44.1463,0
124,1.0,7.1,85.0,2.2,0.1,7.0,3.0,1.0,97.0,5,"24, 6, 0, 4, 31, 0, 32, 3, 39, 2, 10, 8, 6",5.619998739639037,45.87065,0
125,1.0,8.9,75.0,1.7,0.9,1.0,3.0,1.0,68.0,5,"62, 17, 0, 23, 50, 15, 63, 30, 72, 9, 15, 11, 3, 1, 11, 25, 1",8.173794030034838,49.39225,0
126,2.0,10.7,59.0,2.7,1.0,0.0,3.0,1.0,99.0,5,"91, 15, 0, 65, 49, 25, 69, 42, 73, 12, 14, 12, 6, 6, 24, 6",9.51445689385752,52.779869999999995,0
127,2.0,11.4,39.0,2.8,1.0,0.0,3.0,1.0,85.0,5,"55, 18, 0, 56, 48, 23, 52, 33, 59, 13, 10, 5, 1, 4, 3, 14, 3",10.291351058441947,54.35854,0
128,1.0,4.7,85.0,1.3999999999999997,0.0,0.0,3.0,1.0,130.0,6,"0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 2",3.7268201910479197,41.90705,0
129,1.0,6.4,83.0,1.5,0.9,0.0,3.0,1.0,106.0,6,"6, 1, 0, 1, 2, 0, 6, 0, 19, 0, 4",5.52950808587007,44.87388,0
130,1.0,9.7,71.0,2.4,1.0,0.0,3.0,1.0,69.0,6,"18, 6, 0, 5, 22, 0, 17, 3, 33, 0, 1, 12, 9",8.524549080686146,50.822129999999994,0
131,1.0,12.099999999999998,63.0,1.3000000000000003,1.0,0.0,3.0,1.0,84.0,6,"71, 20, 0, 20, 44, 13, 47, 26, 67, 9, 13, 3, 3, 26",12.22697312309744,54.638769999999994,0
132,2.0,11.9,70.0,3.4,0.8,8.0,3.0,0.0,48.0,0,"55, 8, 0, 21, 30, 10, 43, 31, 87, 7, 31, 3, 1, 4, 15",10.585274535177193,54.1757,0
133,2.0,12.0,67.0,5.0,0.8,8.0,3.0,0.0,80.0,0,"40, 3, 0, 20, 34, 13, 32, 35, 57, 5, 15, 6, 1, 2, 7, 1",10.07831075278526,54.398599999999995,0
134,2.0,12.0,60.0,4.5,0.8,4.0,3.0,0.0,120.0,0,"36, 5, 0, 31, 27, 9, 17, 21, 51, 4, 9, 2, 3, 3, 7",10.253827620172643,54.568,0
