,Hour Category,Temperature,Humidity,Wind Speed,Sunshine,Cloud Level,Season Category,IsHoliday,Dust Density,Weekday,Vector,Feeling Temperature,Discomfort Index,IsRain
0,2.0,-0.7,65.0,1.0,0.0,9.0,3.0,0.0,114.0,1,"49, 8, 0, 30, 38, 18, 25, 25, 39, 2, 5, 10, 2, 4, 5, 8, 2",-1.611986345511273,35.98755,0
1,2.0,-0.8,74.0,2.4,0.0,9.0,3.0,0.0,99.0,1,"13, 8, 0, 14, 21, 11, 18, 13, 18, 2, 6, 3, 2, 2, 5",-3.8798114666106063,34.48392,0
2,2.0,-1.5,88.0,0.8,0.0,9.0,3.0,0.0,109.0,1,"2, 6, 0, 6, 1, 5, 4, 3, 3, 0, 1",-1.9834434508884935,31.194199999999995,0
3,2.0,-1.1,91.0,1.0,0.0,10.0,3.0,0.0,106.0,1,"1, 9, 0, 8, 2, 3, 4, 2, 3, 0, 4, 1",-2.0552619729520725,31.405009999999997,0
4,3.0,-0.8,91.0,1.6,0.0,10.0,3.0,0.0,78.0,1,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",-2.8432024065495574,31.918279999999996,0
5,1.0,-2.9,93.0,2.5,0.0,3.0,3.0,0.0,114.0,2,"1, 0, 0, 0, 0, 0, 5, 0, 3, 0",-6.476527857625946,27.981969999999997,0
6,1.0,-2.1,94.0,2.4,0.0,9.0,3.0,0.0,118.0,2,"6, 0, 0, 0, 0, 0, 7, 0, 7, 0, 2",-5.415589439133061,29.202739999999995,0
7,1.0,-0.6,91.0,2.2,0.4000000000000001,7.0,3.0,0.0,112.0,2,"23, 0, 0, 6, 3, 1, 16, 13, 13, 0, 10, 33, 3, 3, 6",-3.4169314634557044,32.260459999999995,0
8,1.0,1.4,84.0,2.1,0.8,3.0,3.0,0.0,115.0,2,"64, 9, 0, 17, 26, 12, 78, 70, 46, 2, 17, 32, 4, 3, 19, 19, 1",-0.9580000286533453,36.58624,0
9,2.0,2.9,77.0,2.2,1.0,1.0,3.0,0.0,148.0,2,"57, 9, 0, 34, 35, 13, 70, 48, 47, 3, 14, 28, 5, 13, 18",0.6907640834055417,39.84867,0
10,2.0,4.4,75.0,2.0,1.0,3.0,3.0,0.0,186.0,2,"71, 13, 0, 44, 35, 10, 45, 28, 54, 4, 11, 26, 4, 3, 11, 13, 1",2.654051233928756,42.406,0
11,2.0,7.3,66.0,3.3,1.0,0.0,3.0,0.0,195.0,2,"44, 6, 0, 38, 38, 14, 28, 14, 51, 6, 20, 1, 10, 7, 5, 2",5.063679825346213,47.544819999999994,0
12,2.0,8.2,65.0,3.4,1.0,0.0,3.0,0.0,177.0,2,"34, 11, 0, 48, 37, 12, 27, 15, 55, 3, 3, 8, 4, 5, 6, 3, 1",6.095493429260872,48.9237,0
13,2.0,8.0,69.0,4.8,0.9,8.0,3.0,0.0,170.0,2,"73, 16, 0, 88, 35, 15, 35, 14, 44, 2, 12, 10, 2, 8, 7, 6, 2",5.158534406345898,48.37779999999999,0
14,2.0,7.3,73.0,3.5,0.0,6.0,3.0,0.0,169.0,2,"81, 52, 0, 195, 33, 30, 68, 45, 52, 1, 12, 17, 19, 10, 35, 4",4.944560893520701,47.04971,0
15,3.0,6.9,77.0,2.2,0.0,7.0,3.0,0.0,150.0,2,"127, 79, 0, 331, 50, 60, 97, 73, 61, 5, 4, 26, 29, 14, 31, 19",5.385273279818393,46.13787,0
16,1.0,-3.4,70.0,1.0,0.0,0.0,3.0,0.0,96.0,3,"0, 0, 0, 0, 0, 0, 7, 1, 8, 0, 10",-4.6040968307366725,31.179799999999997,0
