,Date Time,Vector,Temperature,Wind Speed,Precipitation,Sunshine,Humidity,Cloud Level,Weather Code,Dust Density,Hour Time,Hour Category,Season Category,Weekday,IsHoliday,Feeling Temperature,Discomfort Index,Dust Level,IsRain
0,2021-01-01 00:00,"16, 18, 0, 98, 18, 6, 15, 10, 10, 0",-8.3,1.8,0.0,0.0,66,0.0,0.0,35.0,0,1,4,5,0,-11.808788880820131,1,2,0
1,2021-01-01 01:00,"8, 12, 0, 21, 15, 0, 8, 1, 15, 0",-8.7,2.4,0.0,0.0,68,0.0,0.0,25.0,1,1,4,5,0,-13.212616068862449,1,1,0
2,2021-01-01 02:00,"6, 0, 0, 0, 6, 0, 8, 0, 9, 0",-9.1,1.6,0.0,0.0,69,0.0,0.0,33.0,2,1,4,5,0,-12.356659646935132,1,2,0
3,2021-01-01 03:00,"0, 0, 0, 9, 3, 0, 3, 0, 7, 0",-9.3,1.1,0.0,0.0,70,0.0,0.0,35.0,3,1,4,5,0,-11.426423049919194,1,2,0
4,2021-01-01 04:00,"2, 0, 0, 4, 0, 0, 3, 0, 7, 0",-9.3,0.3,0.0,0.0,71,0.0,0.0,28.0,4,1,4,5,0,-7.903960196654685,1,1,0
5,2021-01-01 05:00,"1, 0, 0, 0, 0, 0, 2, 1, 3, 0",-9.7,1.9,0.0,0.0,72,0.0,0.0,31.0,5,1,4,5,0,-13.605716955958492,1,2,0
6,2021-01-01 06:00,"3, 0, 0, 2, 0, 0, 4, 2, 7, 0",-9.7,2.0,0.0,0.0,75,7.0,0.0,38.0,6,2,4,5,0,-13.776276021981253,1,2,0
7,2021-01-01 07:00,"4, 0, 0, 2, 0, 0, 1, 1, 2, 0",-9.3,1.6,0.0,0.0,71,6.0,0.0,30.0,7,2,4,5,0,-12.5858995804384,1,1,0
8,2021-01-01 08:00,"0, 0, 0, 2, 0, 0, 6, 2, 6, 0",-9.3,1.6,0.0,0.0,72,1.0,0.0,41.0,8,2,4,5,0,-12.5858995804384,1,2,0
9,2021-01-01 09:00,"2, 0, 0, 2, 0, 0, 8, 3, 8, 0",-8.6,2.5,0.0,0.6,74,1.0,0.0,33.0,9,2,4,5,0,-13.23123548468438,1,2,0
10,2021-01-01 10:00,"53, 9, 0, 8, 28, 0, 34, 5, 20, 2",-6.1,1.1,0.0,1.0,68,1.0,0.0,27.0,10,2,4,5,0,-7.856286169787598,1,1,0
11,2021-01-01 11:00,"82, 30, 0, 13, 47, 12, 43, 33, 46, 1",-3.2,1.7,0.0,1.0,55,0.0,0.0,32.0,11,2,4,5,0,-5.7571052094649,1,2,0
12,2021-01-01 12:00,"76, 25, 0, 66, 52, 19, 74, 29, 49, 7",-1.1,2.1,0.0,0.9,52,8.0,0.0,45.0,12,3,4,5,0,-3.881832429175092,1,2,0
13,2021-01-01 13:00,"92, 22, 0, 88, 69, 30, 66, 36, 54, 4",-0.2,3.0,0.0,0.7,56,5.0,0.0,53.0,13,3,4,5,0,-3.7586172984565884,1,2,0
14,2021-01-01 14:00,"76, 14, 0, 81, 69, 27, 48, 23, 50, 4",1.4,1.6,0.0,0.8,53,1.0,0.0,39.0,14,3,4,5,0,-0.32156313801362213,1,2,0
15,2021-01-01 15:00,"58, 25, 0, 102, 64, 19, 43, 33, 40, 5",1.2,2.6,0.0,1.0,52,4.0,0.0,36.0,15,3,4,5,0,-1.71534896700158,1,2,0
16,2021-01-01 16:00,"87, 55, 0, 147, 74, 33, 55, 34, 40, 3",-0.2,3.8,0.0,0.1,58,3.0,0.0,58.0,16,3,4,5,0,-4.404438721893731,1,2,0
17,2021-01-01 17:00,"107, 114, 0, 266, 74, 55, 93, 49, 63, 8",-0.7,1.8,0.0,0.4,61,3.0,0.0,40.0,17,3,4,5,0,-3.0218091548498904,1,2,0
18,2021-01-01 18:00,"115, 134, 0, 343, 64, 63, 103, 65, 67, 8",-1.4,2.1,0.0,0.0,68,3.0,0.0,40.0,18,4,4,5,0,-4.232692317237702,1,2,0
19,2021-01-01 19:00,"91, 73, 0, 279, 64, 33, 75, 46, 63, 5",-1.5,2.4,0.0,0.0,70,1.0,0.0,36.0,19,4,4,5,0,-4.70676883643039,1,2,0
20,2021-01-01 20:00,"74, 53, 0, 234, 100, 35, 70, 31, 48, 2",-1.6,2.5,0.0,0.0,73,8.0,0.0,36.0,20,4,4,5,0,-4.935980504086303,1,2,0
21,2021-01-01 21:00,"78, 47, 0, 190, 73, 31, 45, 20, 42, 2",-1.6,2.3,0.0,0.0,66,8.0,0.0,30.0,21,4,4,5,0,-4.709872591672054,1,1,0
22,2021-01-01 22:00,"56, 38, 0, 183, 37, 19, 35, 19, 39, 3",-1.8,2.5,0.0,0.0,63,8.0,0.0,27.0,22,4,4,5,0,-5.172987789246248,1,1,0
23,2021-01-01 23:00,"15, 14, 0, 78, 27, 11, 19, 22, 25, 0",-2.6,1.9,0.0,0.0,55,0.0,0.0,35.0,23,4,4,5,0,-5.363845209443034,1,2,0
24,2021-01-02 00:00,"6, 12, 0, 44, 12, 2, 8, 4, 13, 0",-3.4,2.5,0.0,0.0,55,0.0,0.0,38.0,0,1,4,6,1,-7.069046070525809,1,2,0
25,2021-01-02 01:00,"5, 7, 0, 18, 5, 0, 4, 1, 17, 0",-4.1,2.3,0.0,0.0,39,0.0,0.0,24.0,1,1,4,6,1,-7.653793046379905,1,1,0
26,2021-01-02 02:00,"1, 3, 0, 9, 0, 0, 4, 3, 12, 0",-5.0,2.7,0.0,0.0,42,0.0,0.0,34.0,2,1,4,6,1,-9.20023484202168,1,2,0
27,2021-01-02 03:00,"3, 1, 0, 7, 0, 0, 3, 2, 9, 0",-5.8,1.9,0.0,0.0,45,0.0,0.0,34.0,3,1,4,6,1,-9.078491630407747,1,2,0
28,2021-01-02 04:00,"0, 0, 0, 4, 0, 0, 3, 0, 7, 0",-6.3,1.7,0.0,0.0,45,0.0,0.0,29.0,4,1,4,6,1,-9.326178568344996,1,1,0
29,2021-01-02 05:00,"0, 0, 0, 0, 0, 0, 4, 3, 8, 0",-6.6,1.1,0.0,0.0,40,0.0,0.0,29.0,5,1,4,6,1,-8.41412005730816,1,1,0
30,2021-01-02 06:00,"0, 0, 0, 0, 0, 0, 2, 7, 6, 0",-6.6,2.7,0.0,0.0,35,0.0,0.0,24.0,6,2,4,6,1,-11.107464573066697,1,1,0
31,2021-01-02 07:00,"0, 0, 0, 0, 0, 0, 3, 1, 3, 0",-7.4,1.5,0.0,0.0,38,0.0,0.0,28.0,7,2,4,6,1,-10.213661789423707,1,1,0
32,2021-01-02 08:00,"0, 0, 0, 0, 0, 0, 3, 0, 9, 0",-8.3,1.3,0.0,0.0,41,0.0,0.0,26.0,8,2,4,6,1,-10.805734994472992,1,1,0
33,2021-01-02 09:00,"2, 2, 0, 1, 1, 0, 5, 2, 10, 0",-7.6,2.0,0.0,0.9,39,0.0,0.0,18.0,9,2,4,6,1,-11.329206005143593,1,1,0
34,2021-01-02 10:00,"16, 8, 0, 2, 43, 0, 12, 13, 39, 0",-6.0,2.3,0.0,1.0,35,0.0,0.0,6.0,10,2,4,6,1,-9.891172591957872,1,1,0
